날짜,휴일 여부
2024-01-01,공휴일
2024-01-02,비공휴일
2024-01-03,비공휴일
2024-01-04,비공휴일
2024-01-05,비공휴일
2024-01-06,주말
2024-01-07,주말
2024-01-08,비공휴일
2024-01-09,비공휴일
2024-01-10,비공휴일
2024-01-11,비공휴일
2024-01-12,비공휴일
2024-01-13,주말
2024-01-14,주말
2024-01-15,비공휴일
2024-01-16,비공휴일
2024-01-17,비공휴일
2024-01-18,비공휴일
2024-01-19,비공휴일
2024-01-20,주말
2024-01-21,주말
2024-01-22,비공휴일
2024-01-23,비공휴일
2024-01-24,비공휴일
2024-01-25,비공휴일
2024-01-26,비공휴일
2024-01-27,주말
2024-01-28,주말
2024-01-29,비공휴일
2024-01-30,비공휴일
2024-01-31,비공휴일
2024-02-01,비공휴일
2024-02-02,비공휴일
2024-02-03,주말
2024-02-04,주말
2024-02-05,비공휴일
2024-02-06,비공휴일
2024-02-07,비공휴일
2024-02-08,비공휴일
2024-02-09,공휴일
2024-02-10,공휴일
2024-02-11,공휴일
2024-02-12,공휴일
2024-02-13,비공휴일
2024-02-14,비공휴일
2024-02-15,비공휴일
2024-02-16,비공휴일
2024-02-17,주말
2024-02-18,주말
2024-02-19,비공휴일
2024-02-20,비공휴일
2024-02-21,비공휴일
2024-02-22,비공휴일
2024-02-23,비공휴일
2024-02-24,주말
2024-02-25,주말
2024-02-26,비공휴일
2024-02-27,비공휴일
2024-02-28,비공휴일
2024-02-29,비공휴일
2024-03-01,샌드위치
2024-03-02,주말
2024-03-03,주말
2024-03-04,샌드위치
2024-03-05,비공휴일
2024-03-06,비공휴일
2024-03-07,비공휴일
2024-03-08,비공휴일
2024-03-09,주말
2024-03-10,주말
2024-03-11,비공휴일
2024-03-12,비공휴일
2024-03-13,비공휴일
2024-03-14,비공휴일
2024-03-15,비공휴일
2024-03-16,주말
2024-03-17,주말
2024-03-18,비공휴일
2024-03-19,비공휴일
2024-03-20,비공휴일
2024-03-21,비공휴일
2024-03-22,비공휴일
2024-03-23,주말
2024-03-24,주말
2024-03-25,비공휴일
2024-03-26,비공휴일
2024-03-27,비공휴일
2024-03-28,비공휴일
2024-03-29,비공휴일
2024-03-30,주말
2024-03-31,주말
2024-04-01,비공휴일
2024-04-02,비공휴일
2024-04-03,비공휴일
2024-04-04,비공휴일
2024-04-05,비공휴일
2024-04-06,주말
2024-04-07,주말
2024-04-08,비공휴일
2024-04-09,비공휴일
2024-04-10,공휴일
2024-04-11,비공휴일
2024-04-12,비공휴일
2024-04-13,주말
2024-04-14,주말
2024-04-15,비공휴일
2024-04-16,비공휴일
2024-04-17,비공휴일
2024-04-18,비공휴일
2024-04-19,비공휴일
2024-04-20,주말
2024-04-21,주말
2024-04-22,비공휴일
2024-04-23,비공휴일
2024-04-24,비공휴일
2024-04-25,비공휴일
2024-04-26,비공휴일
2024-04-27,주말
2024-04-28,주말
2024-04-29,비공휴일
2024-04-30,비공휴일
2024-05-01,비공휴일
2024-05-02,비공휴일
2024-05-03,비공휴일
2024-05-04,주말
2024-05-05,공휴일
2024-05-06,공휴일
2024-05-07,비공휴일
2024-05-08,비공휴일
2024-05-09,비공휴일
2024-05-10,비공휴일
2024-05-11,주말
2024-05-12,주말
2024-05-13,비공휴일
2024-05-14,비공휴일
2024-05-15,공휴일
2024-05-16,비공휴일
2024-05-17,비공휴일
2024-05-18,주말
2024-05-19,주말
2024-05-20,비공휴일
2024-05-21,비공휴일
2024-05-22,비공휴일
2024-05-23,비공휴일
2024-05-24,비공휴일
2024-05-25,주말
2024-05-26,주말
2024-05-27,비공휴일
2024-05-28,비공휴일
2024-05-29,비공휴일
2024-05-30,비공휴일
2024-05-31,비공휴일
2024-06-01,주말
2024-06-02,주말
2024-06-03,비공휴일
2024-06-04,비공휴일
2024-06-05,비공휴일
2024-06-06,공휴일
2024-06-07,샌드위치
2024-06-08,주말
2024-06-09,주말
2024-06-10,비공휴일
2024-06-11,비공휴일
2024-06-12,비공휴일
2024-06-13,비공휴일
2024-06-14,비공휴일
2024-06-15,주말
2024-06-16,주말
2024-06-17,비공휴일
2024-06-18,비공휴일
2024-06-19,비공휴일
2024-06-20,비공휴일
2024-06-21,비공휴일
2024-06-22,주말
2024-06-23,주말
2024-06-24,비공휴일
2024-06-25,비공휴일
2024-06-26,비공휴일
2024-06-27,비공휴일
2024-06-28,비공휴일
2024-06-29,주말
2024-06-30,주말
2024-07-01,비공휴일
2024-07-02,비공휴일
2024-07-03,비공휴일
2024-07-04,비공휴일
2024-07-05,비공휴일
2024-07-06,주말
2024-07-07,주말
2024-07-08,비공휴일
2024-07-09,비공휴일
2024-07-10,비공휴일
2024-07-11,비공휴일
2024-07-12,비공휴일
2024-07-13,주말
2024-07-14,주말
2024-07-15,비공휴일
2024-07-16,비공휴일
2024-07-17,비공휴일
2024-07-18,비공휴일
2024-07-19,비공휴일
2024-07-20,주말
2024-07-21,주말
2024-07-22,비공휴일
2024-07-23,비공휴일
2024-07-24,비공휴일
2024-07-25,비공휴일
2024-07-26,비공휴일
2024-07-27,주말
2024-07-28,주말
2024-07-29,비공휴일
2024-07-30,비공휴일
2024-07-31,비공휴일
2024-08-01,비공휴일
2024-08-02,비공휴일
2024-08-03,주말
