날짜,휴일 여부
2024-08-04,주말
2024-08-05,비공휴일
2024-08-06,비공휴일
2024-08-07,비공휴일
2024-08-08,비공휴일
2024-08-09,비공휴일
2024-08-10,주말
2024-08-11,주말
2024-08-12,비공휴일
2024-08-13,비공휴일
2024-08-14,비공휴일
2024-08-15,공휴일
2024-08-16,샌드위치
2024-08-17,주말
2024-08-18,주말
2024-08-19,비공휴일
2024-08-20,비공휴일
2024-08-21,비공휴일
2024-08-22,비공휴일
2024-08-23,비공휴일
2024-08-24,주말
2024-08-25,주말
2024-08-26,비공휴일
2024-08-27,비공휴일
2024-08-28,비공휴일
2024-08-29,비공휴일
2024-08-30,비공휴일
2024-08-31,주말
2024-09-01,주말
2024-09-02,비공휴일
2024-09-03,비공휴일
2024-09-04,비공휴일
2024-09-05,비공휴일
2024-09-06,비공휴일
2024-09-07,주말
2024-09-08,주말
2024-09-09,비공휴일
2024-09-10,비공휴일
2024-09-11,비공휴일
2024-09-12,비공휴일
2024-09-13,샌드위치
2024-09-14,주말
2024-09-15,주말
2024-09-16,샌드위치
2024-09-17,공휴일
2024-09-18,공휴일
2024-09-19,비공휴일
2024-09-20,비공휴일
2024-09-21,주말
2024-09-22,주말
2024-09-23,비공휴일
2024-09-24,비공휴일
2024-09-25,비공휴일
2024-09-26,비공휴일
2024-09-27,비공휴일
2024-09-28,주말
2024-09-29,주말
2024-09-30,샌드위치
2024-10-01,공휴일
2024-10-02,샌드위치
2024-10-03,공휴일
2024-10-04,샌드위치
2024-10-05,주말
2024-10-06,주말
2024-10-07,비공휴일
2024-10-08,비공휴일
2024-10-09,공휴일
2024-10-10,비공휴일
2024-10-11,비공휴일
2024-10-12,주말
2024-10-13,주말
2024-10-14,비공휴일
2024-10-15,비공휴일
2024-10-16,비공휴일
2024-10-17,비공휴일
2024-10-18,비공휴일
2024-10-19,주말
2024-10-20,주말
2024-10-21,비공휴일
2024-10-22,비공휴일
2024-10-23,비공휴일
2024-10-24,비공휴일
2024-10-25,비공휴일
2024-10-26,주말
2024-10-27,주말
2024-10-28,비공휴일
2024-10-29,비공휴일
2024-10-30,비공휴일
2024-10-31,비공휴일
2024-11-01,비공휴일
2024-11-02,주말
2024-11-03,주말
2024-11-04,비공휴일
2024-11-05,비공휴일
2024-11-06,비공휴일
2024-11-07,비공휴일
2024-11-08,비공휴일
2024-11-09,주말
2024-11-10,주말
2024-11-11,비공휴일
2024-11-12,비공휴일
2024-11-13,비공휴일
2024-11-14,비공휴일
2024-11-15,비공휴일
2024-11-16,주말
2024-11-17,주말
2024-11-18,비공휴일
2024-11-19,비공휴일
2024-11-20,비공휴일
2024-11-21,비공휴일
2024-11-22,비공휴일
2024-11-23,주말
2024-11-24,주말
2024-11-25,비공휴일
2024-11-26,비공휴일
2024-11-27,비공휴일
2024-11-28,비공휴일
2024-11-29,비공휴일
2024-11-30,주말
2024-12-01,주말
2024-12-02,비공휴일
2024-12-03,비공휴일
2024-12-04,비공휴일
2024-12-05,비공휴일
2024-12-06,비공휴일
2024-12-07,주말
2024-12-08,주말
2024-12-09,비공휴일
2024-12-10,비공휴일
2024-12-11,비공휴일
2024-12-12,비공휴일
2024-12-13,비공휴일
2024-12-14,주말
2024-12-15,주말
2024-12-16,비공휴일
2024-12-17,비공휴일
2024-12-18,비공휴일
2024-12-19,비공휴일
2024-12-20,비공휴일
2024-12-21,주말
2024-12-22,주말
2024-12-23,비공휴일
2024-12-24,비공휴일
2024-12-25,공휴일
2024-12-26,비공휴일
2024-12-27,비공휴일
2024-12-28,주말
2024-12-29,주말
2024-12-30,비공휴일
2024-12-31,비공휴일
